,Representative,Metric,Num,Unit
117,3PN1,ic50,0.507,uM
118,3UQ8,Kd,45.0,uM
119,3ZQ9,Ki,0.95,uM
120,2YJQ,Ki,5.2,uM
121,5U98,Kd,0.2,nM
122,4O2C,ic50,10.0,nM
123,4QRQ,Kd,2.48,uM
124,3BHB,ic50,3.4,nM
125,3FT3,ic50,44.0,nM
126,3H7B,Kd,41.0,uM
127,4WJ5,ic50,0.51,uM
128,3H9H,Kd,5.4,uM
129,3PWJ,Kd,70.0,uM
130,3GSO,Kd,27.7,uM
131,3KLA,Kd,31.1,uM
132,2V2W,Kd,2.2,uM
133,3REW,Kd,28.8,uM
134,5MEQ,Kd,28.0,uM
135,2C7U,Kd,100.0,nM
136,3GSV,Kd,57.5,uM
137,3D25,ic50,22.0,nM
138,3BH9,ic50,116.9,nM
139,2V2X,Kd,5.2,uM
140,4JFO,Kd,140.0,uM
141,3PWL,Kd,140.0,uM
142,3QFD,Kd,68.0,uM
143,5MEO,Kd,1.0,uM
144,3GSU,Kd,58.2,uM
145,3IXA,Kd,9.8,uM
146,3FT2,ic50,44.0,nM
147,3BH8,ic50,11.2,nM
148,3BGM,ic50,32.5,nM
149,3PWN,Kd,48.0,uM
150,3FT4,ic50,1171.0,nM
151,3GSR,Kd,60.2,uM
152,2HN7,ic50,31.0,nM
153,3FJG,Kd,187.0,uM
154,1CFV,Ka,100000000.0,M^-1
155,1BFV,Ka,10000000.0,M^-1
156,4JFF,Kd,600.0,pM
157,4JFD,Kd,36.0,uM
158,3IET,Kd,0.14,uM
159,1LEK,Kd,1.3,nM
160,1FZM,Kd,20.0,nM
161,3PAB,Kd,20.0,uM
162,1G7Q,Kd,877.0,nM
163,1FZO,Kd,13.0,nM
164,1FZJ,Kd,8.0,nM
165,1G7P,Kd,90.0,nM
166,3P9L,Kd,6.0,uM
167,1FZK,Kd,4.0,nM
168,1LK2,ic50,12.0,uM
169,1LEG,Kd,11.1,nM
170,3P9M,Kd,10.0,uM
171,3GJF,Kd,46.0,nM
172,2BNQ,Kd,5.0,uM
173,2BNR,Kd,13.3,uM
174,4NP3,Kd,0.5,mM
175,4MRE,Kd,6.4,mM
176,4MRG,Kd,1.1,mM
177,4MRF,Kd,11.2,mM
178,4NP2,Kd,5.5,mM
179,4MRH,Kd,12.6,mM
180,3E2M,ic50,0.4,nM
181,1XDD,ic50,0.2,uM
182,1XUO,ic50,69.0,nM
183,1RD4,Kd,18.3,nM
184,1XDG,ic50,0.05,uM
185,2O7N,ic50,15.0,nM
186,3BQM,Ki,2.0,nM
187,2ICA,ic50,20.0,nM
188,3BQN,ic50,2.5,nM
189,3RUG,Kd,4.4,uM
190,2BMK,Kd,2.4,uM
191,1WCB,Kd,26.0,nM
192,5H9P,Kd,0.068,uM
193,4XBN,Kd,93.0,uM
194,5H9R,Kd,0.84,uM
195,2AZ5,ic50,22.0,uM
196,1MH5,Kd,0.61,nM
197,1MJ7,Kd,4.5,nM
198,1MFA,Kd,9.1,uM
199,3I9G,Kd,1.1,nM
200,1F4X,Kd,2.6,uM
201,1GAF,Kd,10.0,nM
202,1AJ7,Kd,135.0,uM
203,2BVE,ic50,215.0,uM
204,4ZFZ,Kd,2.5,uM
205,4HGW,Kd,1.45e-06,M
206,2R1Y,Kd,31.0,uM
207,2R1X,Kd,16.0,uM
208,3HZM,Kd,1.45e-06,M
209,2R23,Kd,190.0,uM
210,2R1W,Kd,25.0,uM
211,3HZY,Kd,10.0,uM
212,3HZK,Kd,30.0,uM
213,3BPC,Kd,16.0,uM
214,5ISZ,Kd,27.0,nM
215,43CA,Kd,1.0,uM
216,3VJ6,Kd,17.0,uM
217,1Y0L,Kd,1.0,nM
218,5IVX,Kd,0.54,uM
219,1E4W,Kd,25.0,nM
220,3KDM,Kd,0.1,uM
221,3RWG,ic50,2.8,nM
222,3RWI,ic50,116.0,nM
223,3RWC,ic50,7.6,nM
224,3RWE,ic50,43.0,nM
225,2OK0,Kd,0.2,nM
226,3G08,Kd,6.843,nM
227,3ILQ,Kd,6.2,uM
228,5T70,Kd,102.0,uM
229,1Q72,Kd,1.45e-06,M
230,4Z76,Kd,13.6,uM
231,4WDI,Kd,286.0,uM
232,4Z78,Kd,113.0,uM
233,3FN0,Kd,40.0,uM
234,1S3K,Kd,0.24,uM
235,1A4K,Kd,0.01,uM
236,1X9Q,Kd,0.27,pM
237,3IJH,Kd,100.0,uM
238,5J47,ic50,4.9,uM
239,1YEJ,Kd,35.0,nM
240,1YEI,Kd,35.0,nM
241,1M48,Kd,8.2,uM
242,1FLR,Kd,0.1,nM
243,1JOC,Kd,24.0,uM
244,2X4T,ic50,7.33,uM
245,5JHD,Kd,37.0,nM
246,1KEL,Kd,52.0,nM
247,2DQU,Ki,50.0,nM
248,2DQT,Ki,50.0,nM
249,1JGL,Kd,2.0,nM
250,1A0Q,Ki,27.0,nM
251,4L4V,Kd,1.65,uM
252,2Z93,Kd,11.1,nM
253,2Z92,Kd,66.7,nM
254,3EYS,Kd,3000.0,nM
255,2R0Z,Kd,3400.0,nM
256,3QUZ,Kd,39.6,nM
257,3QUY,Kd,187.0,nM
258,5T78,Kd,43.0,nM
259,5T6P,Kd,880.0,nM
260,1DL7,Kd,0.32,uM
261,1MFD,Kd,4.9,uM
262,3BIB,ic50,4.0,mM
263,3BIA,ic50,125.0,mM
264,2E+27,Ka,2220000000.0,M^-1
265,1H8S,Kd,1.54,uM
266,1M7D,Ka,1700000.0,M^-1
267,1M7I,Ka,250000.0,M^-1
268,1PZ5,Kd,4.0,uM
269,1W72,Kd,14.0,nM
270,3L1N,Kd,6.34,uM
271,1OAU,Kd,20.0,nM
272,1OAR,Kd,40.0,nM
273,2BJM,Ka,100000.0,M^-1
274,4K3H,Kd,90.0,nM
275,2YK1,Kd,7.4,nM
276,1E4X,Kd,25.0,nM
277,5BS0,Kd,76.7,nM
278,1CT8,Kd,0.3,uM
279,2CGR,Kd,53.0,nM
280,1I7Z,Kd,0.4,uM
281,1MI5,Kd,10.0,uM
282,4F8L,ic50,40.0,mM
283,4F8P,ic50,40.0,mM
284,4F8N,ic50,40.0,mM
285,2O5Z,Kd,110.0,mM
286,1FL3,Kd,0.16,uM
287,2RDG,Kd,0.72,uM
288,1IND,Ka,11000000000.0,M^-1
289,1ZEA,Kd,6.0,uM
290,1VPO,Kd,1.45e-06,M
291,1C5C,Kd,110.0,nM
292,1MJJ,Kd,1.83,nM
293,2PCP,Kd,2.0,nM
294,1D6V,Kd,670.0,nM
295,1Q0Y,Kd,1.0,nM
296,1IGJ,Kd,0.1,nM
297,1UZ8,Kd,10.75,uM
298,3LEX,Kd,6.44,nM
299,2F3R,ic50,0.5,uM
300,4QRH,Ki,7.0,uM
301,2VCX,ic50,0.021,uM
302,2VD1,ic50,0.138,uM
303,5AIX,Kd,0.17,uM
304,2CVD,Kd,0.8,uM
305,5AIS,Kd,0.57,uM
306,5AIV,Kd,0.65,uM
307,2VCW,ic50,890.0,uM
308,3EE2,ic50,65.0,uM
309,2VD0,ic50,11.6,uM
310,2VCQ,ic50,0.92,uM
311,4WOP,Kd,17.2,uM
312,3QXC,Kd,1.7,uM
313,3QXH,Kd,5.8,uM
314,3UXL,Ki,2.7,uM
315,4FP1,Ki,0.027000000000000003,mM
316,4HNC,Ki,0.67,mM
317,3UXK,Ki,9.3,uM
318,1RM0,Ki,0.67,uM
319,1JKI,Ki,6.0,uM
320,4CJN,Kd,17.5,uM
321,1E2K,Ki,11.4,uM
322,1E2N,Ki,30.9,uM
323,1E2P,Ki,27.0,uM
324,1OF1,ic50,15.0,uM
325,1E2L,Ki,51.5,uM
326,4UXH,ic50,1.1,uM
327,2ORV,Kd,29.0,nM
328,2NTB,Ki,16.0,mM
329,4ZQO,Ki,14.0,nM
330,4ZQN,Ki,17.0,nM
331,4ZQP,Ki,1580.0,nM
332,2GCE,Kd,24.5,uM
333,2YIM,Kd,120.0,uM
334,2QDT,Ki,6.5,uM
335,2HB9,ic50,15.0,uM
336,2GFJ,ic50,150.0,uM
337,2GFK,ic50,30.0,uM
338,5EVB,Ki,10.0,uM
339,2FU8,Ki,20.0,uM
340,5EVK,Ki,12.0,uM
341,5EVD,Ki,10.0,uM
342,1KR3,Ki,10.0,uM
343,1HLK,Ki,10.0,uM
344,1PI5,Ki,17.0,nM
345,1L2S,Ki,26.0,uM
346,4JXW,Ki,19.0,uM
347,4KZ8,Ki,1.6,mM
348,2HDU,Ki,5.0,mM
349,2R9W,Ki,8.0,uM
350,2PU2,Ki,37.0,uM
351,1XGJ,Ki,1.0,uM
352,1PI4,Ki,37.0,nM
353,1XGI,Ki,14.0,uM
354,3GV9,Ki,7.5,mM
355,3GTC,Ki,4.5,mM
356,4KZ3,Ki,1.7,mM
357,4KZ7,Ki,3.2,mM
358,2HDR,Ki,19.0,mM
359,4JXS,Ki,18.0,uM
360,2R9X,Ki,14.0,uM
361,4KZ4,Ki,0.07,mM
362,4KZB,Ki,1.3,mM
363,1MY8,Ki,0.035,uM
364,2HDS,Ki,10.0,mM
365,3GRJ,Ki,1.0,mM
366,4KZ5,Ki,10.0,mM
367,3GVB,Ki,2.6,mM
368,3GR2,Ki,3.0,mM
369,3GSG,Ki,2.0,mM
370,4JXV,Ki,31.0,uM
371,2HDQ,Ki,40.0,mM
372,4KZ6,Ki,0.8,mM
373,3GQZ,Ki,6.7,mM
374,4KZA,Ki,0.2,mM
375,2GKL,Ki,4.5,uM
376,3IOF,Ki,6.0,uM
377,3IOG,ic50,3.0,uM
378,2QDS,Ki,72.0,uM
379,5FQC,ic50,0.003,uM
380,5N4T,ic50,1.06,uM
381,5NI0,ic50,1.89,uM
382,5NHZ,ic50,4.7,uM
383,5LCA,ic50,32.8,uM
384,5LSC,ic50,20.0,uM
385,5ACW,Kd,145.0,uM
386,5LM6,ic50,7.7,uM
387,5LCH,ic50,20.3,uM
388,2YZ3,Ki,220.0,nM
389,5MM9,ic50,0.38,uM
390,5ACX,Kd,9.0,uM
391,5LCF,ic50,17.8,uM
392,5N4S,ic50,0.055,uM
393,4TYT,ic50,0.02,uM
394,5FQB,ic50,0.3,uM
395,5EW0,Ki,0.26,uM
396,3G35,Ki,0.021,mM
397,3G31,Ki,1.3,mM
398,3G34,Ki,1.1,mM
399,3G30,Ki,3.1,mM
400,3G32,Ki,0.19399999999999998,mM
401,3G2Z,Ki,4.4,mM
402,4DE1,Ki,1.1,uM
403,5DTK,ic50,18.0,uM
404,5DTT,ic50,250.0,uM
405,5DVA,ic50,250.0,uM
406,5DTS,ic50,240.0,uM
407,5FQK,Kd,15.8,uM
408,1JJE,ic50,0.0037,uM
409,1JJT,ic50,0.009000000000000001,uM
410,2DOO,ic50,0.7,uM
411,5EWA,Ki,15.0,uM
412,5NE2,Ki,84.0,pM
413,4DDY,Ki,21.0,uM
414,4EXS,Ki,39.0,uM
415,4DE3,Ki,3.0,uM
416,1M2X,Ki,85.0,uM
417,5K1F,Ki,16.2,uM
418,5K1D,Ki,20.8,uM
419,1PZO,Ki,460.0,uM
420,1PZP,Ki,480.0,uM
421,4DDS,Ki,9.7,uM
422,1JT1,Kd,400.0,uM
423,4DE2,Ki,76.0,uM
424,4DE0,Ki,1.3,uM
425,3ZY6,Kd,0.23,uM
426,3ZY3,Kd,0.35,uM
427,3ZY5,Kd,0.23,uM
428,3ZY2,Kd,0.35,uM
429,2I80,Ki,4.0,uM
430,4JJF,Ki,2.0,nM
431,4JJF,Ki,10.0,nM
432,4JJG,Ki,2.0,nM
433,1CLU,Kd,5.4,nM
434,4EPY,Kd,340.0,uM
435,2WQP,Ki,3.1,uM
436,3HIG,Ki,13.0,nM
437,3HII,Ki,290.0,nM
438,2V58,Kd,0.82,nM
439,2W6O,ic50,60.8,uM
440,3JZI,ic50,5.0,uM
441,3JZF,ic50,5.0,uM
442,2V59,Kd,6.53,nM
443,2W70,ic50,12.0,uM
444,2W6P,ic50,0.33299999999999996,uM
445,2V5A,ic50,150.0,nM
446,2W6N,ic50,0.125,uM
447,2W6M,ic50,21.5,uM
448,2W6Q,ic50,25.4,uM
449,2W6Z,ic50,1500.0,uM
450,2W71,ic50,0.33399999999999996,uM
451,2AMV,Ki,1.6,nM
452,3MRT,ic50,200.0,uM
453,1AXR,Ki,540.0,uM
454,3MQF,ic50,5.7,uM
455,3MS7,ic50,370.0,uM
456,4EKY,Ki,303.0,uM
457,1C50,ic50,334.0,nM
458,5MCB,Ki,2.5,mM
459,3L7D,Ki,6.55,mM
460,1WUY,ic50,1.6,uM
461,2PRI,Ki,1.23,mM
462,NOK1.00,Ki,700.0,uM
463,1WV0,ic50,2.9,uM
464,1E1Y,ic50,2.5,uM
465,1B4D,Ki,15.6,uM
466,4MI6,Ki,48.68,uM
467,2QRM,Ki,92.5,uM
468,3G2I,Ki,13.7,uM
469,1XL0,Ki,145.2,uM
470,1GPY,Kd,25.0,uM
471,2GJ4,ic50,319.0,nM
472,1P4G,Ki,1.8,mM
473,1Z6Q,ic50,74.0,nM
474,3NC4,ic50,26.6,uM
475,3MS4,ic50,524.3,uM
476,3L79,Ki,3.46,mM
477,2QRH,Ki,19.6,uM
478,1WW3,Ki,75.0,uM
479,3MTD,ic50,340.5,uM
480,1WUT,ic50,1.9,uM
481,2G9U,ic50,0.84,uM
482,4CTN,Ki,10.0,uM
483,2GM9,ic50,41.0,nM
484,1NOI,Ki,700.0,uM
485,4MHO,Ki,8.25,uM
486,3MT9,ic50,25.7,uM
487,4CTM,Ki,24.0,uM
488,3SYR,Ki,7.9,uM
489,3NP7,ic50,140.0,uM
490,2F3Q,Ki,0.22,mM
491,4YUA,Ki,13.4,uM
492,4EL0,Ki,32.4,uM
493,2IEI,ic50,0.121,uM
494,1WW2,Ki,32.0,uM
495,4EL5,Ki,4.7,uM
496,4MI3,Ki,75.29,uM
497,3L7C,Ki,3.67,mM
498,3T3E,Ki,1.02,uM
499,3GPB,Kd,9.5,mM
500,2QRG,Ki,6.6,uM
501,3L7B,Ki,4.01,mM
502,3AMV,Ki,10.8,nM
503,2PRJ,Ki,32.0,uM
504,1C8L,ic50,6.9,nM
505,1C8L,ic50,0.45,mM
506,1XC7,Ki,5.1,mM
507,3MSC,ic50,484.2,uM
508,4MRA,ic50,34.8,uM
509,5LRC,Ki,7.0,uM
510,2G9R,ic50,0.84,uM
511,4MIC,Ki,4.98,uM
512,1Z62,Ki,16.0,uM
513,2G9V,Ki,5.2,uM
514,3MT7,ic50,93.2,uM
515,2QRQ,Ki,7.9,uM
516,5LRF,Ki,0.41,uM
517,1A8I,Ki,3.0,uM
518,8GPB,Kd,250.0,uM
519,3SYM,Ki,27.1,uM
520,1GG8,Ki,1.0,mM
521,3T3G,Ki,3.27,uM
522,5LRD,Ki,1.7,uM
523,3NP9,ic50,39.8,uM
524,3G2L,Ki,135.9,uM
525,4MI9,Ki,376.87,uM
526,1P4J,Ki,0.88,mM
527,1GGN,Ki,3.1,uM
528,3L7A,Ki,46.42,uM
529,1KTI,Ki,370.0,uM
530,2GPB,Ki,2.0,mM
531,2F3P,Ki,0.71,mM
532,1XKX,Ki,8.6,uM
533,1GFZ,Ki,0.15,mM
534,3S0J,ic50,169.9,uM
535,1WV1,ic50,2.8,uM
536,2F3S,Ki,0.92,mM
537,3T3D,Ki,12.39,uM
538,1K08,Ki,4.6,uM
539,5JTT,Ki,0.28,uM
540,3G2H,Ki,151.3,uM
541,1C8K,ic50,1.0,uM
542,3MTA,ic50,50.4,uM
543,3MRV,ic50,180.0,uM
544,2PYD,Ki,1.7,mM
545,1P4H,Ki,0.31,mM
546,3MT8,ic50,28.3,uM
547,1K06,Ki,4.6,uM
548,4YI3,Ki,4.95,uM
549,5JTU,Ki,0.031,uM
550,4MHS,Ki,5.14,uM
551,1XL1,Ki,76.0,uM
552,1H5U,ic50,178.0,nM
553,2QRP,Ki,0.63,uM
554,3NPA,ic50,136.4,uM
555,1P2G,Ki,7.4,mM
556,4Z5X,Ki,1730.0,uM
557,4YI5,Ki,2.53,uM
558,1NOJ,Ki,700.0,uM
559,2F3U,Ki,1.41,mM
560,1UZU,Ki,13.8,uM
561,4CTO,Ki,9.0,uM
562,3G2K,Ki,16.1,uM
563,1Z6P,ic50,0.9,uM
564,2PYI,Ki,0.18,mM
565,3MRX,ic50,406.5,uM
566,2IEG,ic50,0.135,uM
567,2G9Q,Ki,342.0,nM
568,3MTB,ic50,23.2,uM
569,2OFF,Ki,0.46,uM
570,1HLF,Ki,2.3,uM
571,3MS2,ic50,192.4,uM
572,1QM5,Ki,1.5,uM
573,1EM6,ic50,6.0,nM
574,1L5R,ic50,0.145,uM
575,1L5R,Kd,17.0,uM
576,1L5Q,ic50,0.145,uM
577,1L5Q,Kd,108.0,uM
578,1EXV,ic50,45.0,nM
579,1L7X,ic50,0.145,uM
580,1L7X,Kd,92.0,uM
581,3DDS,ic50,506.0,nM
582,3CEM,Kd,24.0,nM
583,2ATI,ic50,23.0,nM
584,1L5S,ic50,0.145,uM
585,1L5S,Kd,550.0,uM
586,1XOI,ic50,0.057,uM
587,3DDW,ic50,1067.0,nM
588,2ZB2,ic50,0.9,uM
589,4GID,Ki,0.017,nM
590,2HM1,ic50,13.0,nM
591,2B8L,ic50,15.0,nM
592,4LXK,ic50,0.004,uM
593,4JPE,ic50,40.0,nM
594,4RCE,ic50,2.0,nM
595,3L5E,ic50,27.0,nM
596,4BFD,ic50,0.096,uM
597,4D89,ic50,0.002,uM
598,2IQG,ic50,5.0,nM
599,3HW1,ic50,0.87,mM
600,4JOO,ic50,36830.0,nM
601,2WF1,ic50,0.002,uM
602,3NSH,ic50,470.0,nM
603,5HU1,Ki,2.2,nM
604,4HZT,ic50,0.75,uM
605,4B78,ic50,3.2,uM
606,5HDU,Ki,1.0,nM
607,2P83,ic50,11.0,nM
608,4B1C,ic50,0.079,uM
609,2OAH,Kd,2.0,uM
610,2B8V,ic50,98.0,nM
611,5I3X,Kd,8.0,nM
612,3FKT,ic50,2.8,uM
613,3L5D,ic50,78000.0,nM
614,2ZE1,ic50,0.6,uM
615,3K5G,ic50,0.0025,uM
616,4DH6,ic50,16.8,nM
617,3KMX,Kd,15.0,uM
618,2QK5,ic50,8.0,nM
619,3UFL,ic50,0.15,uM
620,4I12,ic50,40.0,uM
621,4J1C,ic50,0.049,uM
622,4N00,ic50,9.5,nM
623,4I0D,ic50,0.61,uM
624,4DJX,Ki,59.0,nM
625,4H1E,Ki,3.0,nM
626,2VNN,ic50,2.0,nM
627,4RRN,ic50,48.0,nM
628,4PZX,ic50,0.13,uM
629,4RRS,ic50,210.0,nM
630,2WEZ,ic50,0.023,uM
631,4ZSR,ic50,36.1,uM
632,2OHU,ic50,4.2,uM
633,4JP9,ic50,24.0,nM
634,3I25,Ki,3.1,nM
635,4WTU,ic50,0.3,nM
636,4XXS,ic50,52.0,nM
637,3LPJ,ic50,120.0,nM
638,2F3E,ic50,156.0,nM
639,2VJ9,ic50,180.0,nM
640,4DPF,ic50,400.0,nM
641,4DJY,Ki,5.4,nM
642,2OHR,ic50,100.0,uM
643,4D88,ic50,0.049,uM
644,5KR8,ic50,150.0,nM
645,5HE7,Ki,5.0,nM
646,2WF2,ic50,0.026000000000000002,uM
647,2VKM,Ki,1.8,nM
648,4EWO,ic50,44.0,nM
649,4WY6,ic50,1.07,uM
650,4J0V,ic50,0.027999999999999997,uM
651,3L3A,ic50,0.42,uM
652,3IXJ,ic50,0.32,nM
653,5HDV,Ki,15.0,nM
654,3L38,ic50,0.1,uM
655,5T1U,ic50,0.069,uM
656,4YBI,ic50,239.0,nM
657,2VIY,ic50,1.8,uM
658,3L5C,ic50,7000.0,nM
659,4ZPG,Kd,0.055,uM
660,2FDP,Ki,0.026000000000000002,uM
661,1YM4,ic50,0.039,uM
662,4FRK,ic50,0.008,uM
663,4KE0,ic50,0.017,uM
664,2G94,Ki,0.3,nM
665,4AZY,ic50,125.0,nM
666,5HDX,Ki,48.0,nM
667,4B77,ic50,7.9,uM
668,5HDZ,Ki,45.0,nM
669,3VV8,ic50,17.1,uM
670,3DUY,ic50,1.4,uM
671,4J0T,ic50,0.14800000000000002,uM
672,4ZPE,ic50,0.45,uM
673,4J0Z,ic50,0.077,uM
674,5EZZ,ic50,145.0,nM
675,2VA6,ic50,590.0,nM
676,4IVT,ic50,1.7,uM
677,3LPI,ic50,5.0,nM
678,4J1F,ic50,0.012,uM
679,4ZSQ,ic50,2.25,uM
680,2OHT,ic50,9.1,uM
681,3CIC,ic50,3.0,nM
682,5F01,ic50,420.0,nM
683,5V0N,Ki,67.1,nM
684,3MSK,ic50,26.0,uM
685,3IVI,ic50,12.0,nM
686,4B72,ic50,0.63,uM
687,2PH6,ic50,27.0,nM
688,4I0F,ic50,0.45,uM
689,5HTZ,Ki,2.4,nM
690,4DV9,ic50,189.0,nM
691,3L5F,ic50,605.0,nM
692,4ZPF,ic50,0.18,uM
693,3UDJ,ic50,242.0,uM
694,4LXA,ic50,0.002,uM
695,3UDR,ic50,11.0,uM
696,3TPP,ic50,15.0,nM
697,3S7M,ic50,0.06,uM
698,5KQF,ic50,0.31,uM
699,2VJ7,ic50,40.0,nM
700,4J0Y,ic50,0.435,uM
701,4J1E,ic50,0.019,uM
702,4D8C,ic50,0.002,uM
703,5I3V,Kd,16.0,nM
704,3VV7,ic50,4.6,uM
705,3DV5,ic50,0.027000000000000003,uM
706,3L59,Kd,200.0,uM
707,3UDM,ic50,33.0,uM
708,4DPI,ic50,78.0,nM
709,4ACX,ic50,1e-08,M
710,4KE1,ic50,0.0025,uM
711,3HVG,ic50,2.0,mM
712,2WF3,ic50,0.019,uM
713,3VF3,ic50,1.37,uM
714,4FRJ,ic50,0.28,uM
715,2VNM,ic50,3.0,nM
716,2Q11,Ki,900.0,nM
717,3QBH,ic50,0.15,uM
718,4R92,Ki,39.0,nM
719,3IVH,ic50,47.0,nM
720,5HU0,Ki,595.0,nM
721,3MSJ,ic50,770.0,uM
722,3DV1,ic50,0.59,uM
723,5HE4,Ki,20.0,nM
724,4H3J,Ki,90.0,nM
725,4WY1,ic50,5.8,uM
726,3OOZ,ic50,0.013999999999999999,uM
727,2PH8,ic50,1800.0,nM
728,3IND,ic50,1.53,uM
729,1TQF,ic50,1.4,uM
730,4R95,Ki,22.0,nM
731,2QMG,Ki,0.7,nM
732,2XFK,ic50,3.0,nM
733,4FM8,ic50,2.4,uM
734,4FRI,ic50,2.85,uM
735,2QP8,ic50,8.0,nM
736,4BEK,ic50,41.2,uM
737,4J1H,ic50,0.7759999999999999,uM
738,4HA5,Ki,56.0,nM
739,5I3W,Kd,0.6,nM
740,2WF4,ic50,13.0,nM
741,3IN4,ic50,0.04,uM
742,2OHS,ic50,40.0,uM
743,3UDH,ic50,1.1,mM
744,3UDP,ic50,6.0,uM
745,3RSV,ic50,0.0007,uM
746,4H3F,Ki,1.0,nM
747,3LPK,Ki,0.8,nM
748,3CKP,Ki,5.001,uM
749,4J1K,ic50,0.013000000000000001,uM
750,3PI5,ic50,0.95,uM
751,3INH,ic50,0.02,uM
752,2HIZ,ic50,112.0,nM
753,2P4J,Ki,1.1,nM
754,4R91,Ki,430.0,nM
755,4ACU,ic50,1e-08,M
756,2IRZ,ic50,12.0,nM
757,5ENM,ic50,70.0,nM
758,4H3I,Ki,3.0,nM
759,2QZK,ic50,27.0,nM
760,5EZX,ic50,87.0,nM
761,4J0P,ic50,0.051,uM
762,3UDY,ic50,2.0,uM
