rec	lig	dock	rmsd	pose	score
5c5a	5c5a	glide	3.32	4	-5.75
5c5a	5c5a	glide	7.13	1	-6.54
5c5a	5c5a	glide	8.14	9	-2.13
5c5a	5c5a	gold	7.27	3	57.84
5c5a	5c5a	gold	7.36	1	62.21
5c5a	5c5a	gold	7.39	2	61.68
5c5a	5c5a	vina	0.8	1	-9.4
5c5a	5c5a	vina	6.7	5	-7.5
5c5a	5c5a	vina	8.17	6	-7.2
5j7f	5j7f	glide	6.45	6	-9.81
5j7f	5j7f	glide	6.65	5	-9.53
5j7f	5j7f	glide	8.81	1	-9.88
5j7f	5j7f	gold	5.41	7	71.83
5j7f	5j7f	gold	8.77	6	49.43
5j7f	5j7f	gold	9.22	2	82.52
5j7f	5j7f	vina	3.15	3	-7.5
5j7f	5j7f	vina	6.99	8	-7.3
5j7f	5j7f	vina	9.19	4	-7.4
5j7g	5j7g	glide	6.46	1	-10.9
5j7g	5j7g	glide	6.82	4	-10.81
5j7g	5j7g	glide	8.89	10	-5.3
5j7g	5j7g	gold	10.66	8	70.04
5j7g	5j7g	gold	11.42	9	78.44
5j7g	5j7g	gold	8.36	6	74.65
5j7g	5j7g	vina	11.29	5	-6.9
5j7g	5j7g	vina	7.62	1	-7.1
5j7g	5j7g	vina	8.9	9	-6.8
5lav	5lav	glide	1.08	1	-8.01
5lav	5lav	glide	2.51	6	-5.87
5lav	5lav	glide	5.94	8	-4.62
5lav	5lav	gold	0.78	3	66.8
5lav	5lav	gold	0.8	1	67.38
5lav	5lav	gold	0.81	2	67.17
5lav	5lav	vina	0.54	1	-9.4
5lav	5lav	vina	5.16	6	-7.2
5lav	5lav	vina	6.41	9	-7.0
5law	5law	glide	0.78	3	-8.49
5law	5law	glide	1.26	8	-7.62
5law	5law	glide	1.74	5	-7.96
5law	5law	gold	0.61	3	62.43
5law	5law	gold	0.76	4	65.01
5law	5law	gold	4.24	2	37.31
5law	5law	vina	0.55	1	-9.7
5law	5law	vina	5.35	4	-7.7
5law	5law	vina	6.54	3	-7.8
5lay	5lay	glide	0.39	1	-8.82
5lay	5lay	glide	4.69	7	-4.64
5lay	5lay	glide	8.02	10	-3.87
5lay	5lay	gold	0.51	2	66.27
5lay	5lay	gold	0.53	3	66.09
5lay	5lay	gold	0.58	1	65.93
5lay	5lay	vina	0.45	1	-10.0
5lay	5lay	vina	4.18	8	-7.3
5lay	5lay	vina	7.1	5	-7.7
5laz	5laz	glide	0.63	2	-9.92
5laz	5laz	glide	1.79	4	-9.35
5laz	5laz	glide	6.84	7	-5.94
5laz	5laz	gold	0.48	3	93.31
5laz	5laz	gold	0.51	1	92.53
5laz	5laz	gold	0.66	2	93.31
5laz	5laz	vina	0.61	1	-11.5
5laz	5laz	vina	0.61	1	-11.5
5laz	5laz	vina	0.61	1	-11.5
5ln2	5ln2	glide	5.45	7	-3.8
5ln2	5ln2	glide	7.48	6	-4.71
5ln2	5ln2	glide	7.97	10	-3.78
5ln2	5ln2	gold	1.76	2	69.69
5ln2	5ln2	gold	2.29	5	70.11
5ln2	5ln2	gold	2.6	1	73.2
5ln2	5ln2	vina	1.15	5	-6.8
5ln2	5ln2	vina	4.92	4	-6.8
5ln2	5ln2	vina	8.21	8	-6.2
5oc8	5oc8	glide	4.22	3	-4.78
5oc8	5oc8	glide	6.06	2	-5.19
5oc8	5oc8	glide	8.8	8	-3.23
5oc8	5oc8	gold	0.58	5	79.11
5oc8	5oc8	gold	1.01	4	79.51
5oc8	5oc8	gold	1.82	3	75.01
5oc8	5oc8	vina	0.43	1	-10.0
5oc8	5oc8	vina	1.58	3	-7.3
5oc8	5oc8	vina	1.7	2	-9.7
5z02	5z02	glide	4.3	7	-4.55
5z02	5z02	glide	6.32	8	-4.28
5z02	5z02	glide	7.12	1	-6.87
5z02	5z02	gold	2.88	5	66.12
5z02	5z02	gold	3.0	3	69.67
5z02	5z02	gold	7.17	4	61.72
5z02	5z02	vina	0.85	1	-9.3
5z02	5z02	vina	5.21	6	-7.1
5z02	5z02	vina	8.04	3	-8.0
5zxf	5zxf	glide	1.19	1	-7.27
5zxf	5zxf	glide	5.61	8	-4.23
5zxf	5zxf	glide	7.16	6	-6.08
5zxf	5zxf	gold	1.07	5	63.32
5zxf	5zxf	gold	7.12	1	57.21
5zxf	5zxf	gold	7.39	2	38.94
5zxf	5zxf	vina	0.21	1	-9.0
5zxf	5zxf	vina	6.52	9	-6.8
5zxf	5zxf	vina	8.45	8	-6.8

